country,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,,,,,,
Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.4,,,,
Iran,,,,,,,,52.7,,,,49.4,,,,49.1,,,,49.9,,,,,,,49.6,50.6,,,47.8,,,,44.6,45.6,,,
Iraq,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.1,,,,,,38.5,,,,,
Ireland,,,,,,,,,,,,,,,,,,,,,,,,,40.8,41.3,41.8,40.7,40.3,39.3,40.7,40.2,40.7,41.1,41.3,40.1,40.2,,
Israel,42.8,,,,,,,43,,,,,,42.4,,,,,44.3,,,,44.8,,,,46.6,,46,,,47.3,,46.1,,,,,
Italy,,,,,,,,,,,,,,,,,,,,,,,,,41.8,41.3,40.7,40.8,40,40.8,40.7,41.4,41.7,41.7,41.3,41,41.3,,
Jamaica,,,,,,,,,,49.1,,47.9,,,42.8,,,47.5,,,50.7,,,54.2,,51.6,,,,,,,,,,,,,
Japan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.7,,,,,,,,,
Jordan,,,,,,,,43.8,,,,,,50,,,,,44.4,,,,,44.9,,,,42.5,,41.7,,42.4,,,,,,,
Kazakhstan,,,,,,,,,,,,,,,,,,42.3,,,,,42.9,42.4,41.4,40.3,46.2,39.5,39.3,38.2,37.8,37.7,37.6,37.7,36.9,37,36.9,,
Kenya,,,,,,,,,,,,,,61.8,,48.9,,,51.3,,,,,,,,52.2,,,,,,,,,,47.5,,
Kiribati,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.9,,,,,,,,,,,
Kyrgyz Republic,,,,,,,,,,,,,,,,,,,,51.1,,40.2,39.1,39.1,38.1,43,41.3,44.9,41.8,40,39.3,39.2,37.7,37.3,38.3,37,38.8,37.2,
Lao,,,,,,,,,,,,,,43,,,,,43.7,,,,,41.7,,,,,43.9,,,,,44.6,,,,,
Latvia,,,,,,,,,,,,,,,36.7,,39.3,39.7,,,,,,,,43.5,45.4,42.6,44,43.5,42.6,41.7,42.8,42.3,42.6,42.2,41.5,,
Lebanon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,
Lesotho,,,,,,,,60,,,,,,,,66.5,,,,,,,,55.4,,,,,,,,58.2,,,,,,,
Liberia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.5,,,,,,,41.3,,,
Lithuania,,,,,,,,,,,,,,,42.1,,,,,,,,,,,43.7,42.6,42,42,42.8,43.4,40.3,39.9,42,42.5,44.1,44.1,,
Luxembourg,,,,,,,,,,,,,,,,,,,,,,,,,38.6,38.7,39.4,39.4,39.7,40.7,39.2,38.8,39.9,41.7,39.7,39.1,41,,
"Macedonia, FYR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.1,44,44.2,43.3,42.1,41,,,
Madagascar,,52.5,,,,,,,,,,,,,51.4,,,,46,,45.2,,53.5,,,,47.5,,,,,49.5,,49.4,,,,,
Malawi,,,,,,,,,,,,,,,,,,,70.3,,,,,,,47.5,,,,,,51.8,,,,,,,
Malaysia,,,,,,53.9,,,52.7,,52,,,53.1,,,53.8,,54.3,,,,,,,51.4,,,51.4,50.8,,,49.6,,47.7,,47.3,,
Maldives,,,,,,,,,,,,,,,,,,,,,,,,48.7,,,,,,,45,,,,,,,,
Mali,,,,,,,,,,,,,,,,56.2,,,,,,,46.5,,,,,46.1,,,41.3,,,,,,,,
Malta,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.7,37.5,37.5,38.6,37.6,37.8,38,37.7,37.8,38.1,,
Mauritania,,,,,,,,,48.6,,,,,,56.1,,44.5,,,,,45.7,,,,47.4,,,,42.4,,,,,,40.2,,,
Mauritius,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.8,,,,,,43.9,,,,,
Mexico,,,,,,53.8,,,,,,,,54.9,,55.8,,53.7,,53.8,,56.5,,54.6,,54.1,54.5,53.6,,50.7,,51.3,,51.6,,52.2,,50.1,
"Micronesia, Fed. Sts.",,,,,,,,,,,,,,,,,,,,,,,,,,,48.7,,,,,,,,46,,,,
Moldova,,,,,,,,,,,,,,,,,,,43.8,45.9,49.6,43.8,45.2,43.1,42.9,42.9,43.7,42.7,42,42.4,40.6,40.3,39.3,38.4,37.8,36.6,36.9,36.6,
Mongolia,,,,,,,,,,,,,,,,,40.8,,,38.2,,,,40.5,,,,,43.4,,,41.1,42,41.7,,40.3,,40.6,
Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,39,38.5,39.3,39.2,39.6,37.2,39.3,40.1,40.3,40.5,,,
Morocco,,,,,,46.2,,,,,,46.3,,,,,,,,46.5,,47.8,,,,,,48,,,,,,,47,,,,
Mozambique,,,,,,,,,,,,,,,,,,59.1,,,,,,53.5,,,,,,51.4,,,,,,59.5,,,
Myanmar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.7,,
Namibia,,,,,,,,,,,,,,,,,,,,,,,,,69,,,,,,66.4,,,,,,63.7,,
Nepal,,,,,,,,,,,,,,,,,43.7,,,,,,,,51.2,,,,,,,41.5,,,,,,,
Netherlands,,,,,,,,,,,,,,,,,,,,,,,,,,38.3,38,39,38.6,38.1,36.9,36.9,37,36.9,37.2,37.7,37.3,,
Nicaragua,,,,,,,,,,,,,,,60.5,,,,,58.6,,,57.9,,,,54.6,,,,49.9,,,,,52.1,,,
Niger,,,,,,,,,,,,,,43.9,,48.3,,,,,,,,,,,51,,45.7,,,,40.8,,,42.4,,,
Nigeria,,,,,,,45,,,,,,,49.3,,,,56.5,,,,,,,46,,,,,,49,,,,,,,,
Norway,,,,,,,,,,,,,,,,,,,,,,,,,37.2,40.5,39.7,35.5,36.5,36.2,35.6,35.2,34.8,35.2,35.7,35.9,36.5,,
Pakistan,,,,,,,,,42.2,,,41.8,,,,,,39,,42.4,,,40.1,,,41.9,42.3,,41.3,,,39.7,40.7,,40.3,,42.8,,
Palestine,,,,,,,,,,,,,,,,,,,,,,,,,,41.8,42.3,42.2,43,,42.6,43.2,42.5,,,,,41.1,
Panama,53.4,,,,,,,,,,61,,60.6,,,,60.5,,61.3,60.6,59.8,60.3,60,59.9,59.6,58.8,57.7,58.5,56.8,57.5,56.5,56.1,55.8,56.2,56,54.9,55.3,54.8,
Papua New Guinea,,,,,,,,,,,,,,,,,,58.6,,,,,,,,,,,,,47.3,,,,,,,,
Paraguay,,,,,,,,,,,,47.1,,,,,61.8,,58.4,,58.6,,58.9,61.1,59.4,57.3,56.3,57.6,57.6,55.7,53.9,55.6,56.7,52.5,53.1,55.6,52.7,53.1,
Peru,,,,,,,,,,,,,,,,,,,57.5,60.3,60.4,53.6,55.7,57.9,58.1,54.7,55.1,54.7,54.5,52.1,51.9,50.5,49.7,49.5,49.1,48.5,48.8,48.9,
Portugal,,,,,,,,,,,,,,,,,,,,,,,,,45.8,46.2,46.1,45.4,44.2,44.1,42.5,43.4,43.8,43.2,43.1,42.6,42.7,,
Romania,,,,,,,,,,,33.3,,,34.8,,37.3,,,,,,,,,,,,45,43.3,42.3,41.5,41.1,41.2,41.8,41.6,40.7,40.7,,
Russia,,,,,,,,,,,,,,,53.3,,,51.1,45.1,44.6,43.8,43.7,43.8,44.2,46.7,46.8,47.7,47.5,48.9,48.5,47.1,46.6,47,47.8,48,47.1,45.3,,
Rwanda,,,,,,38.9,,,,,,,,,,,,,,,,54.9,,,,,58,,,,,54.1,,,52.2,,,,
Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.2,,,,,,,,,
Sao Tome and Principe,,,,,,,,,,,,,,,,,,,,,,40.2,,,,,,,,,,39.5,,,,,,,
Senegal,,,,,,,,,,,,,58.6,,,48.4,,,,,,,48.4,,,,45.8,,,,,,46.9,,,,,,
Seychelles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,,,,
Sierra Leone,,,,,,,,,,,,,,,,,,,,,,,,,47.8,,,,,,,,42.4,,,,,,
Slovak Republic,,,,,,,,,,,,,,,,,,34.8,,,,,,,,35.9,38.3,35.5,34.5,35.6,36.1,36.1,35.4,34.9,36.4,34.5,35,,
Slovenia,,,,,,,,,,,,,,,38.6,,,,,,,,,,,34.7,34.6,34.4,34.4,34,34.7,34.7,34.8,35.2,35.6,35.4,35.1,,
Solomon Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,52,,,,,,,,44.6,,,,
South Africa,,,,,,,,,,,,,,,64.3,,,65.9,,,,62.7,,,,,71,,,68.7,,68.9,,,,68.2,,,
South Korea,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.2,,39.7,,39.4,,39,,,,,
South Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.6,,,,,,,,
Spain,,,,,,,,,,,,,,,,,,,,,,,,,39.1,40.3,39.6,40.4,41,41,41.4,41.7,41.7,41.6,41.9,41.9,42.1,,
Sri Lanka,,,,,,,41.1,,,,,41.7,,,,,44,,,,,,,48.6,,,,47.9,,,44.7,,,47,,,,47.6,
St. Lucia,,,,,,,,,,,,,,,,,48.3,,,,,,,,,,,,,,,,,,,,,,
Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.4,,,,,,,,
Suriname,,,,,,,,,,,,,,,,,,,,,60.2,,,,,,,,,,,,,,,,,,
Swaziland,,,,,,,,,,,,,,,,64,,,,,,59.5,,,,,,,,,56.7,,,,,,,,
Sweden,,,,,,,,,,,,,,,,,,,,,,,,,34.7,35.5,35.6,35.6,36.2,36.9,36.2,36.6,36.3,36.3,37,37,37.6,,
Switzerland,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.4,41.7,41.3,40.6,40.4,39.7,39.8,40.5,40.5,40.2,,
Syria,,,,,,,,,,,,,,,,,,,,,,,,,,44,,,,,,,,,,,,,
Tajikistan,,,,,,,,,,,,,,,,,,,,,38.1,,,,40.9,41.9,,,39.7,,39.3,,,,,,41.7,,
Tanzania,,,,,,,,,,,,,43,,,,,,,,,44.7,,,,,,,47.2,,,,45.8,,,,,,
Thailand,,,51.4,,,,,,,50.7,,52.2,,54.4,,50.4,,49.9,,48.5,50.1,49.7,,48.9,,49.3,,48.5,46.7,47.2,46.5,46.5,45.1,46.3,45.1,44.5,43.8,,
Timor-Leste,,,,,,,,,,,,,,,,,,,,,,,43.5,,,,,,37.5,,,,,,,38.4,,,
Togo,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.1,,,,,51.6,,,,48.6,,
Tonga,,,,,,,,,,,,,,,,,,,,,,,44.2,,,,,,,,44.6,,,,,,,,
Trinidad and Tobago,,,,,,,,,,48,,,,45.9,,,,,,,,,,,,,,,,,,,,,,,,,
Tunisia,,,,,,,49.6,,,,,46.3,,,,,47.9,,,,,47.3,,,,,44.7,,,,,42.9,,,,,,,
Turkey,,,,,,,,,49.9,,,,,,,47.6,,,,,,,,47.7,48.4,47,48.3,45.6,44.7,45.1,45.4,45.2,46.5,46.6,46.6,47.7,49.2,48.3,
Turkmenistan,,,,,,,,,,,,,,,,,,,,47.5,,,,,,,,,,,,,,,,,,,
Tuvalu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.4,,,,,,,
Uganda,,,,,,,,,,,49.9,,,48.2,,,,46.5,,,49.7,,,52.1,,,49.8,,,,51.2,,,48.3,,,,49.8,
Ukraine,,,,,,,,,,,,,,37.8,37.8,,45.7,42.7,,,,,,38,38,37.9,38,38.8,36.6,36.4,35.4,35.2,34.9,35,35.1,34.6,35.6,35.1,
United Kingdom,,,,,,,,,,,,,,,,,,,,,,,,,,43,41.3,41.9,43,41.6,41.7,41.8,40.7,40,40.5,41.2,40.6,,
United States,41.2,,,,,,,43.2,,,,,43.9,,,45.7,,,46.3,,,46,,,,46,,,46.5,,,45.7,,,46.4,,,46.9,
Uruguay,,,49.2,,,,,,,,48.1,,,,,,,,,,,,,,,,,51.6,52,50.9,51.1,50.2,48.1,45.9,46.5,46.2,46.1,45.9,
Uzbekistan,,,,,,,,,,,,,,,,,,,,49.1,,43.7,,42,43.4,,,,,,,,,,,,,,
Vanuatu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.8,,,,,,,
Venezuela,,,59.9,,,,,,58,,49.5,,,48,,,52.3,,,53.5,52.7,,52.5,54.1,53.4,52.9,54.6,50.7,,,,,,,,,,,
Vietnam,,,,,,,,,,,,,,44.1,,,,,,44.2,,,,45.4,,44.5,,43.3,,43.5,,46.3,,43,,42.2,,42.5,
Yemen,,,,,,,,,,,,,,,,,,,,42.4,,,,,,,43.2,,,,,,,,,44.7,,,
Zambia,,,,,,,,,,,,,61.9,,56.6,,,53.6,,54.2,,,,48.8,,59,,59.5,,,,61.1,,,,,61.3,,
Zimbabwe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.7,,,,,,
