country,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Lithuania,,,,,,,,,,,,,,,8.1,,,,,,,,,,,5.8,6.4,6.9,6.8,6.6,5.7,6.5,7.1,6.5,6.7,6,6.1,,
Luxembourg,,,,,,,,,,,,,,,,,,,,,,,,,8.3,8.3,8.2,8.2,8.3,7.8,8,8.2,7.8,7.4,7.6,7.9,7.2,,
"Macedonia, FYR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.1,3.7,4,4.7,5.3,5.6,,,
Madagascar,,5,,,,,,,,,,,,,5.4,,,,6.1,,6.3,,4.9,,,,6.7,,,,,6.1,,5.7,,,,,
Malawi,,,,,,,,,,,,,,,,,,,3.9,,,,,,,6.9,,,,,,5.5,,,,,,,
Malaysia,,,,,,4.6,,,4.9,,5.1,,,4.7,,,4.5,,4.4,,,,,,,4.7,,,4.7,4.8,,,5.2,,5.8,,5.8,,
Maldives,,,,,,,,,,,,,,,,,,,,,,,,6.8,,,,,,,6.4,,,,,,,,
Mali,,,,,,,,,,,,,,,,4.6,,,,,,,6.3,,,,,6.4,,,8,,,,,,,,
Malta,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.6,8.2,8.5,8.2,8.4,8.5,8.4,8.6,8.6,8.5,,
Mauritania,,,,,,,,,4.2,,,,,,5.2,,6.4,,,,,6.2,,,,6.5,,,,6.7,,,,,,7.5,,,
Mauritius,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.6,,,,,,7.4,,,,,
Mexico,,,,,,4.1,,,,,,,,4.2,,4.2,,4.4,,4.1,,3.9,,4.5,,4.6,4.4,4.8,,5.3,,5.1,,5.2,,5.4,,5.7,
"Micronesia, Fed. Sts.",,,,,,,,,,,,,,,,,,,,,,,,,,,5.6,,,,,,,,5.5,,,,
Moldova,,,,,,,,,,,,,,,,,,,6.5,6,6,6.9,6.7,7,7.6,7.4,7,7.1,7.4,7.3,7.6,8.1,8.5,9,9.1,9.7,9.7,10,
Mongolia,,,,,,,,,,,,,,,,,7.4,,,7.7,,,,7.5,,,,,7.3,,,7.8,7.8,7.6,,8.1,,8,
Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,8.5,8.4,8,8.4,8.3,8.7,8.2,7.7,7.6,8.5,,,
Morocco,,,,,,6.6,,,,,,6.6,,,,,,,,6.5,,6.5,,,,,,6.5,,,,,,,6.7,,,,
Mozambique,,,,,,,,,,,,,,,,,,4,,,,,,5.4,,,,,,5.2,,,,,,4.2,,,
Myanmar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.3,,
Namibia,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,3.3,,,,,,2.8,,
Nepal,,,,,,,,,,,,,,,,,7.8,,,,,,,,6.5,,,,,,,8.3,,,,,,,
